"","intervention","excess_cost","excess_qalyloss","IncrementalCost","IncrementalQALYGain","NetMonetaryBenefit","parameter","univariate_scenario"
"384","iFAST",2945074912.96261,120142.733907369,-631245.312089443,185.980519339428,4350855.698878,"complicated_IV_65100_f_specificity.c","high"
"385","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_65100_f_cost.empiricuti.U","high"
"386","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_65100_f_cost.empiricuti.U","high"
"387","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_65100_f_cost.empiricuti.current","high"
"388","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_65100_f_cost.empiricuti.current","high"
"389","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_65100_f_cost.empiricuti.ifast","high"
"390","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_65100_f_cost.empiricuti.ifast","high"
"391","current",2945717051.29853,120328.714426708,0,0,0,"complicated_IV_65100_f_cost.2ndline.U","high"
"392","iFAST",2945114268.27835,120142.733907369,-602783.02018404,185.980519339428,4322393.40697259,"complicated_IV_65100_f_cost.2ndline.U","high"
"393","current",2945365124.5295,120258.905457714,0,0,0,"uncomplicated_1664_m_r.prev","high"
"394","iFAST",2944564067.82382,120036.808711916,-801056.705676079,222.096745798364,5242991.62164336,"uncomplicated_1664_m_r.prev","high"
"395","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_m_sensitivity.i","high"
"396","iFAST",2945041520.96709,120136.432468998,-639530.138933182,192.28195771022,4485169.29313758,"uncomplicated_1664_m_sensitivity.i","high"
"397","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_m_specificity.i","high"
"398","iFAST",2945063247.44682,120142.733907369,-617803.659205437,185.980519339442,4337414.04599428,"uncomplicated_1664_m_specificity.i","high"
"399","current",2945650218.07318,120322.895892828,0,0,0,"uncomplicated_1664_m_sensitivity.c","high"
"400","iFAST",2945074912.96261,120142.733907369,-575305.110570431,180.161985459403,4178544.81975849,"uncomplicated_1664_m_sensitivity.c","high"
"401","current",2945670348.00938,120328.714426708,0,0,0,"uncomplicated_1664_m_specificity.c","high"
"402","iFAST",2945074912.96261,120142.733907369,-595435.046761036,185.980519339399,4315045.43354901,"uncomplicated_1664_m_specificity.c","high"
"403","current",2945777704.40788,120328.714426708,0,0,0,"uncomplicated_1664_m_cost.empiricuti.U","high"
"404","iFAST",2945169780.43197,120142.733907369,-607923.975903988,185.980519339428,4327534.36269254,"uncomplicated_1664_m_cost.empiricuti.U","high"
"405","current",2945686840.88067,120328.714426708,0,0,0,"uncomplicated_1664_m_cost.empiricuti.current","high"
"406","iFAST",2945081213.27526,120142.733907369,-605627.605412006,185.980519339428,4325237.99220056,"uncomplicated_1664_m_cost.empiricuti.current","high"
"407","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_1664_m_cost.empiricuti.ifast","high"
"408","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"uncomplicated_1664_m_cost.empiricuti.ifast","high"
"409","current",2945692916.57011,120328.714426708,0,0,0,"uncomplicated_1664_m_cost.2ndline.U","high"
"410","iFAST",2945087824.71445,120142.733907369,-605091.8556633,185.980519339428,4324702.24245185,"uncomplicated_1664_m_cost.2ndline.U","high"
"411","current",2945674954.11199,120327.833602303,0,0,0,"complicated_IV_1664_m_r.prev","high"
"412","iFAST",2945065482.13177,120141.398752856,-609471.980215549,186.434849447542,4338168.96916638,"complicated_IV_1664_m_r.prev","high"
"413","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_m_sensitivity.i","high"
"414","iFAST",2945064601.01129,120141.32083557,-616450.094736576,187.39359113801,4364321.91749678,"complicated_IV_1664_m_sensitivity.i","high"
"415","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_m_specificity.i","high"
"416","iFAST",2945080481.47109,120142.733907369,-600569.63493681,185.980519339428,4320180.02172536,"complicated_IV_1664_m_specificity.i","high"
"417","current",2945671530.00891,120327.409727582,0,0,0,"complicated_IV_1664_m_sensitivity.c","high"
"418","iFAST",2945074912.96261,120142.733907369,-596617.046291828,184.675820212564,4290133.45054311,"complicated_IV_1664_m_sensitivity.c","high"
"419","current",2945686159.85344,120328.714426708,0,0,0,"complicated_IV_1664_m_specificity.c","high"
"420","iFAST",2945074912.96261,120142.733907369,-611246.890822411,185.980519339428,4330857.27761097,"complicated_IV_1664_m_specificity.c","high"
"421","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_m_cost.empiricuti.U","high"
"422","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_1664_m_cost.empiricuti.U","high"
"423","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_m_cost.empiricuti.current","high"
"424","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_1664_m_cost.empiricuti.current","high"
"425","current",2945681051.10602,120328.714426708,0,0,0,"complicated_IV_1664_m_cost.empiricuti.ifast","high"
"426","iFAST",2945074912.96261,120142.733907369,-606138.143407822,185.980519339428,4325748.53019638,"complicated_IV_1664_m_cost.empiricuti.ifast","high"
"427","current",2945686268.50692,120328.714426708,0,0,0,"complicated_IV_1664_m_cost.2ndline.U","high"
"428","iFAST",2945080585.91482,120142.733907369,-605682.592103481,185.980519339428,4325292.97889204,"complicated_IV_1664_m_cost.2ndline.U","high"
"429","current",2944390768.87415,120043.48273498,0,0,0,"uncomplicated_65100_m_r.prev","high"
"430","iFAST",2942906883.80716,119696.22030027,-1483885.06699038,347.262434709948,8429133.76118934,"uncomplicated_65100_m_r.prev","high"
"431","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_65100_m_sensitivity.i","high"
"432","iFAST",2944932774.54444,120116.130274747,-748276.561582088,212.584151960909,4999959.60080028,"uncomplicated_65100_m_sensitivity.i","high"
"433","current",2945681051.10602,120328.714426708,0,0,0,"uncomplicated_65100_m_specificity.i","high"
"434","iFAST",2945022239.34208,120142.733907369,-658811.763938904,185.980519339384,4378422.15072658,"uncomplicated_65100_m_specificity.i","high"
"435","current",2945550434.56314,120304.267309789,0,0,0,"uncomplicated_65100_m_sensitivity.c","high"
